,symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
101,SHSE.688288,1d,15.7,15.96,14.53,14.53,5663510,87009854.33,15.11,0,2024-07-04 00:00:00+08:00,2024-07-04 00:00:00+08:00
102,SHSE.688288,1d,14.32,14.81,14.26,14.32,3743441,54061135.59,14.53,0,2024-07-05 00:00:00+08:00,2024-07-05 00:00:00+08:00
103,SHSE.688288,1d,14.36,14.37,13.58,13.72,3389880,46887225.17,14.32,0,2024-07-08 00:00:00+08:00,2024-07-08 00:00:00+08:00
104,SHSE.688288,1d,13.79,14.13,13.25,14.07,3736321,51400318.7,13.72,0,2024-07-09 00:00:00+08:00,2024-07-09 00:00:00+08:00
105,SHSE.688288,1d,14.1,16.55,14.1,15.03,7015846,107452132.31,14.07,0,2024-07-10 00:00:00+08:00,2024-07-10 00:00:00+08:00
106,SHSE.688288,1d,15.36,15.55,15.0,15.29,5065828,77312894.58,15.03,0,2024-07-11 00:00:00+08:00,2024-07-11 00:00:00+08:00
107,SHSE.688288,1d,15.34,15.89,15.12,15.46,4387661,67955088.01,15.29,0,2024-07-12 00:00:00+08:00,2024-07-12 00:00:00+08:00
108,SHSE.688288,1d,15.42,15.78,14.9,15.11,3722583,56837026.92,15.46,0,2024-07-15 00:00:00+08:00,2024-07-15 00:00:00+08:00
109,SHSE.688288,1d,14.89,15.18,14.69,15.01,2768497,41370142.54,15.11,0,2024-07-16 00:00:00+08:00,2024-07-16 00:00:00+08:00
110,SHSE.688288,1d,15.0,15.18,14.35,14.36,2742480,40108124.95,15.01,0,2024-07-17 00:00:00+08:00,2024-07-17 00:00:00+08:00
111,SHSE.688288,1d,14.27,14.3,13.76,14.09,2555621,35722047.51,14.36,0,2024-07-18 00:00:00+08:00,2024-07-18 00:00:00+08:00
112,SHSE.688288,1d,13.95,14.46,13.85,14.34,2367161,33711941.48,14.09,0,2024-07-19 00:00:00+08:00,2024-07-19 00:00:00+08:00
113,SHSE.688288,1d,14.28,14.6,14.2,14.44,1821636,26240963.66,14.34,0,2024-07-22 00:00:00+08:00,2024-07-22 00:00:00+08:00
114,SHSE.688288,1d,14.44,15.1,14.18,14.22,3418160,50262135.89,14.44,0,2024-07-23 00:00:00+08:00,2024-07-23 00:00:00+08:00
115,SHSE.688288,1d,13.93,14.17,13.55,13.61,2784906,38395559.46,14.22,0,2024-07-24 00:00:00+08:00,2024-07-24 00:00:00+08:00
116,SHSE.688288,1d,13.47,13.92,13.24,13.7,1975372,26827259.67,13.61,0,2024-07-25 00:00:00+08:00,2024-07-25 00:00:00+08:00
117,SHSE.688288,1d,13.91,14.17,13.68,13.85,1812989,25140004.73,13.7,0,2024-07-26 00:00:00+08:00,2024-07-26 00:00:00+08:00
118,SHSE.688288,1d,13.74,14.87,13.61,14.4,3704992,53098564.31,13.85,0,2024-07-29 00:00:00+08:00,2024-07-29 00:00:00+08:00
119,SHSE.688288,1d,14.4,14.56,14.13,14.44,2110019,30389756.66,14.4,0,2024-07-30 00:00:00+08:00,2024-07-30 00:00:00+08:00
120,SHSE.688288,1d,14.46,14.76,14.21,14.7,2956882,42919537.18,14.44,0,2024-07-31 00:00:00+08:00,2024-07-31 00:00:00+08:00
121,SHSE.688288,1d,14.7,15.28,14.7,15.01,3159261,47319469.22,14.7,0,2024-08-01 00:00:00+08:00,2024-08-01 00:00:00+08:00
122,SHSE.688288,1d,14.91,15.06,14.15,14.15,2746019,40062707.77,15.01,0,2024-08-02 00:00:00+08:00,2024-08-02 00:00:00+08:00
123,SHSE.688288,1d,13.98,14.2,13.09,13.13,2594397,35350468.83,14.15,0,2024-08-05 00:00:00+08:00,2024-08-05 00:00:00+08:00
124,SHSE.688288,1d,13.37,13.49,13.04,13.28,2090317,27605420.97,13.13,0,2024-08-06 00:00:00+08:00,2024-08-06 00:00:00+08:00
125,SHSE.688288,1d,13.48,13.58,13.23,13.39,1369593,18393060.12,13.28,0,2024-08-07 00:00:00+08:00,2024-08-07 00:00:00+08:00
126,SHSE.688288,1d,13.36,13.36,12.8,13.14,1743273,22703291.25,13.39,0,2024-08-08 00:00:00+08:00,2024-08-08 00:00:00+08:00
127,SHSE.688288,1d,13.15,13.36,13.07,13.12,1193649,15771181.42,13.14,0,2024-08-09 00:00:00+08:00,2024-08-09 00:00:00+08:00
128,SHSE.688288,1d,13.01,13.02,12.64,12.83,1309552,16738877.8,13.12,0,2024-08-12 00:00:00+08:00,2024-08-12 00:00:00+08:00
129,SHSE.688288,1d,12.89,13.15,12.66,13.07,1131245,14609488.86,12.83,0,2024-08-13 00:00:00+08:00,2024-08-13 00:00:00+08:00
130,SHSE.688288,1d,13.09,13.28,13.04,13.15,1069918,14073649.48,13.07,0,2024-08-14 00:00:00+08:00,2024-08-14 00:00:00+08:00
131,SHSE.688288,1d,13.15,13.63,12.77,13.55,2211990,29479405.39,13.15,0,2024-08-15 00:00:00+08:00,2024-08-15 00:00:00+08:00
132,SHSE.688288,1d,13.55,14.19,13.42,13.93,2295551,31871013.18,13.55,0,2024-08-16 00:00:00+08:00,2024-08-16 00:00:00+08:00
133,SHSE.688288,1d,13.78,13.92,13.41,13.6,1782068,24398596.19,13.93,0,2024-08-19 00:00:00+08:00,2024-08-19 00:00:00+08:00
134,SHSE.688288,1d,13.55,13.75,13.26,13.32,1186291,15982030.3,13.6,0,2024-08-20 00:00:00+08:00,2024-08-20 00:00:00+08:00
135,SHSE.688288,1d,13.05,13.46,13.0,13.14,1067544,14114081.35,13.32,0,2024-08-21 00:00:00+08:00,2024-08-21 00:00:00+08:00
136,SHSE.688288,1d,13.1,13.35,12.44,12.68,1662744,21448924.24,13.14,0,2024-08-22 00:00:00+08:00,2024-08-22 00:00:00+08:00
137,SHSE.688288,1d,12.68,12.81,12.16,12.45,2345519,29079660.42,12.68,0,2024-08-23 00:00:00+08:00,2024-08-23 00:00:00+08:00
138,SHSE.688288,1d,12.35,12.94,12.3,12.87,1931989,24531697.4,12.45,0,2024-08-26 00:00:00+08:00,2024-08-26 00:00:00+08:00
139,SHSE.688288,1d,12.93,12.93,12.25,12.4,1345854,16759301.73,12.87,0,2024-08-27 00:00:00+08:00,2024-08-27 00:00:00+08:00
140,SHSE.688288,1d,12.4,12.63,12.14,12.41,732718,9058105.31,12.4,0,2024-08-28 00:00:00+08:00,2024-08-28 00:00:00+08:00
141,SHSE.688288,1d,12.18,12.79,12.18,12.68,1365136,17184179.24,12.41,0,2024-08-29 00:00:00+08:00,2024-08-29 00:00:00+08:00
142,SHSE.688288,1d,12.71,13.29,12.7,12.91,1804361,23674923.95,12.68,0,2024-08-30 00:00:00+08:00,2024-08-30 00:00:00+08:00
143,SHSE.688288,1d,12.96,13.05,12.31,12.31,1586748,20056746.58,12.91,0,2024-09-02 00:00:00+08:00,2024-09-02 00:00:00+08:00
144,SHSE.688288,1d,12.35,12.67,12.29,12.58,1003372,12544875.55,12.31,0,2024-09-03 00:00:00+08:00,2024-09-03 00:00:00+08:00
145,SHSE.688288,1d,12.68,12.68,12.25,12.32,828862,10277959.86,12.58,0,2024-09-04 00:00:00+08:00,2024-09-04 00:00:00+08:00
146,SHSE.688288,1d,12.6,12.86,12.36,12.65,1331338,16794167.54,12.32,0,2024-09-05 00:00:00+08:00,2024-09-05 00:00:00+08:00
147,SHSE.688288,1d,12.65,12.78,12.15,12.24,1368641,16959600.39,12.65,0,2024-09-06 00:00:00+08:00,2024-09-06 00:00:00+08:00
148,SHSE.688288,1d,12.24,12.24,11.91,12.04,1355915,16336428.61,12.24,0,2024-09-09 00:00:00+08:00,2024-09-09 00:00:00+08:00
149,SHSE.688288,1d,12.04,12.43,11.9,12.34,897444,10864794.53,12.04,0,2024-09-10 00:00:00+08:00,2024-09-10 00:00:00+08:00
150,SHSE.688288,1d,12.34,12.34,12.03,12.17,743723,9058524.48,12.34,0,2024-09-11 00:00:00+08:00,2024-09-11 00:00:00+08:00
151,SHSE.688288,1d,12.53,12.53,12.17,12.2,1220098,15020930.57,12.17,0,2024-09-12 00:00:00+08:00,2024-09-12 00:00:00+08:00
152,SHSE.688288,1d,12.16,12.28,11.8,11.82,1047595,12528267.34,12.2,0,2024-09-13 00:00:00+08:00,2024-09-13 00:00:00+08:00
